DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,NOTTO,BABACK SERERE,1,509,CEM SALLE 1
THIES,NOTTO,BABACK SERERE,2,522,CEM SALLE 4
THIES,NOTTO,BABACK SERERE,3,445,CEM SALLE 7
THIES,NOTTO,CLASSE D ALPHABETISATION DE NDIRENE,1,409,CLASSE CP
THIES,NOTTO,CLASSE D ALPHABETISATION DE SESSENE,1,578,CLASSE D'ALPHABETISATION
THIES,NOTTO,DIASS PALAM,1,452,CLASSE CM1
THIES,NOTTO,DIOUNGANE,1,572,CLASSE CM1
THIES,NOTTO,DIOUNGANE,2,180,CLASSE CM2
THIES,NOTTO,HANENE,1,599,CLASSE CM1
THIES,NOTTO,HANENE,2,600,SALLE DE CLASSE
THIES,NOTTO,KEUR DIEUMBE NDIAYE,1,356,CLASSE CM2
THIES,NOTTO,KEUR DIEUMBE NDIAYE,2,357,CLASSE CI 1
THIES,NOTTO,KEUR IBRA FALL,1,564,CLASSE CE2
THIES,NOTTO,KEUR IBRA FALL,2,41,CLASSE CM1
THIES,NOTTO,KEUR MADORO NIANG,1,579,CLASSE CM1
THIES,NOTTO,KEUR MADORO NIANG,2,580,SALLE DE CLASSE
THIES,NOTTO,KEUR MAGUEYE NDAO,1,501,CLASSE CI
THIES,NOTTO,KEUR MATOURE GNING,1,402,ECOLE ELEMENTAIRE
THIES,NOTTO,KEUR SADARO FAM,1,560,CLASSE CI
THIES,NOTTO,KEUR SADARO FAM,2,495,SALLE DE CLASSE
THIES,NOTTO,KISSANE,1,515,CLASSE CM2
THIES,NOTTO,KISSANE,2,515,CLASSE CI
THIES,NOTTO,MANDAGRY TOUCOULEUR,1,155,ABRI PROVISOIRE
THIES,NOTTO,MANDANGRY OUOLOFF,1,196,CASE DE SANTE
THIES,NOTTO,MBAMBARA CHERIF,1,432,CLASSE CM2
THIES,NOTTO,MBODJENE,1,489,CLASSE CE1
THIES,NOTTO,MBOMBOYE,1,499,CLASSE CE2
THIES,NOTTO,MBOMBOYE,2,496,SALLE DE CLASSE
THIES,NOTTO,MBOUSNAKH NGATHIE,1,225,CLASSE CI
THIES,NOTTO,MBOUSNAKH NGOR,1,583,CLASSE CE2
THIES,NOTTO,NAFFAR,1,554,CLASSE CI
THIES,NOTTO,NAFFAR,2,161,CLASSE CM2
THIES,NOTTO,NDAKHAR MBAYE,1,188,ECOLE CLASSE CI
THIES,NOTTO,NDIOUKHANE SERERE,1,577,CLASSE CM2
THIES,NOTTO,NDIOUKHANE SERERE,2,98,CLASSE CE2
THIES,NOTTO,NGOLFAGNING,1,435,CLASSE CE2
THIES,NOTTO,NGOLLAR SERERE,1,588,CLASSE CP
THIES,NOTTO,NGOLLAR SERERE,2,585,CLASSE CM1
THIES,NOTTO,NGOLLAR SERERE,3,92,SALLE DE CLASSE
THIES,NOTTO,NOTTO,1,572,CLASSE CM1
THIES,NOTTO,NOTTO,2,570,CLASSE CP
THIES,NOTTO,PELEO SERERE,1,252,CLASSE CM2
THIES,NOTTO,POUT DIACK,1,549,CLASSE CP
THIES,NOTTO,POUT DIACK,2,537,CLASSE CM 2
THIES,NOTTO,POUT DIACK,3,299,CLASSE CI
THIES,NOTTO,SANGUE,1,553,CLASSE CM1
THIES,NOTTO,SANGUE,2,555,CLASSE CE2
THIES,NOTTO,SANGUE,3,558,CLASSE CM 2
THIES,NOTTO,SANGUE,4,203,SALLE DE CLASSE
THIES,NOTTO,TATENE MBAMBARA,1,553,ECOLE CLASSE CE2 A
THIES,NOTTO,TATENE MBAMBARA,2,144,ECOLE CLASSE CI
THIES,NOTTO,TATENE SERERE,1,591,CLASSE CE2
THIES,NOTTO,TATENE SERERE,2,573,CLASSE CP
THIES,NOTTO,TATENE SERERE,3,268,CLASSE CM1 A
THIES,NOTTO,THIEO,1,436,CLASSE CE2
