DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,POUT,ECOLE 1,1,583,CLASSE CI
THIES,POUT,ECOLE 1,2,584,CLASSE CE1
THIES,POUT,ECOLE 1,3,589,SALLE DE CLASSE
THIES,POUT,ECOLE 1,4,584,CLASSE CM1
THIES,POUT,ECOLE 1,5,586,CLASSE CM2
THIES,POUT,ECOLE 1,6,578,SALLE DE CLASSE
THIES,POUT,ECOLE 1,7,581,SALLE DE CLASSE
THIES,POUT,ECOLE 1,8,240,CM1 A
THIES,POUT,ECOLE 2,1,581,CLASSE CP
THIES,POUT,ECOLE 2,2,581,CLASSE CE1
THIES,POUT,ECOLE 2,3,579,CLASSE CE2
THIES,POUT,ECOLE 2,4,581,CLASSE CM1
THIES,POUT,ECOLE 3,1,575,SALLE DE CLASSE
THIES,POUT,ECOLE 3,2,574,SALLE DE CLASSE
THIES,POUT,ECOLE 3,3,572,SALLE DE CLASSE
THIES,POUT,ECOLE 4,1,547,CLASSE CM1
THIES,POUT,ECOLE 4,2,408,SALLE DE CLASSE
THIES,POUT,ECOLE PRIVEE SEYDI ELHADJ MALICK SY,1,548,ECOLE 4 SALLE DE CLASSE
THIES,POUT,ECOLE PRIVEE SEYDI ELHADJ MALICK SY,2,538,ECOLE 4 SALLE DE CLASSE
THIES,POUT,ECOLE PRIVEE SEYDI ELHADJ MALICK SY,3,549,ECOLE 4 SALLE DE CLASSE
THIES,POUT,ECOLE PRIVEE SEYDI ELHADJ MALICK SY,4,537,ECOLE 4 SALLE DE CLASSE
THIES,POUT,ECOLE PRIVEE SEYDI ELHADJ MALICK SY,5,537,ECOLE 4 SALLE DE CLASSE
THIES,POUT,FOYER DE LA FEMME DE POUT,1,550,CASE DES TOUT PETITS
THIES,POUT,FOYER DE LA FEMME DE POUT,2,554,CASE DES TOUT PETITS
THIES,POUT,FOYER DE LA FEMME DE POUT,3,531,CASE DES TOUT PETITS
THIES,POUT,FOYER DE LA FEMME DE POUT,4,390,CASE DES TOUT PETITS
THIES,POUT,FOYER SOCIO CULTUREL DE POUT,1,542,FOYER SOCIO-COLECTIF SALIF GUEYE
THIES,POUT,FOYER SOCIO CULTUREL DE POUT,2,541,FOYER SOCIO-COLECTIF SALIF GUEYE
