DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,TASSETTE,BOUZNAKH GOURBANE,1,482,CLASSE CE2 A
THIES,TASSETTE,BOUZNAKH GOURBANE,2,257,SALLE DE CLASSE
THIES,TASSETTE,DOUNGUEL,1,228,CLASSE CM1
THIES,TASSETTE,ECOLE ELEMENTAIRE DE POUT NDOFF,1,436,CLASSE CM1
THIES,TASSETTE,GUELOR,1,350,CLASSE CM1
THIES,TASSETTE,KEUR ABLAYE DIAW,1,470,CLASSE CM2
THIES,TASSETTE,KEUR AMADOU NDOUMBE,1,478,MAGASIN PLAN
THIES,TASSETTE,KEUR AMADOU NDOUMBE,2,231,MAGASIN PLAN
THIES,TASSETTE,KEUR DEMBA ANTA,1,236,CASE DE SANTE
THIES,TASSETTE,KEUR MALAMINE NDIAYE,1,277,CASE DE SANTE
THIES,TASSETTE,KEUR NDIOGOU NDIAYE,1,516,CLASSE CE2
THIES,TASSETTE,MBOUSNAKH GOTTE,1,537,CASE DE SANTE
THIES,TASSETTE,MBOUSNAKH GOTTE,2,540,CASE DE SANTE
THIES,TASSETTE,NDOYENE,1,511,CLASSE D'ALPHABETISATION
THIES,TASSETTE,NDOYENE,2,186,CLASSE
THIES,TASSETTE,NGUINTH SERERE,1,262,CLASSE CE1
THIES,TASSETTE,PAMENE 1,1,565,CLASSE CE2
THIES,TASSETTE,PAMENE 1,2,45,CLASSE CM2
THIES,TASSETTE,SESSENE DIACK,1,446,ECOLE CLASSE CE1
THIES,TASSETTE,SIPANE,1,558,CLASSE CM1
THIES,TASSETTE,SIPANE,2,226,SALLE DE CLASSE
THIES,TASSETTE,TASSETTE,1,583,CLASSE CM1 A
THIES,TASSETTE,TASSETTE,2,576,CLASSE CE1
THIES,TASSETTE,TASSETTE,3,573,SALLE DE CLASSE
THIES,TASSETTE,TASSETTE,4,81,CP A
THIES,TASSETTE,TASSETTE SERERE,1,550,MAGASIN PLAN
THIES,TASSETTE,TASSETTE SERERE,2,379,MAGASIN PLAN
THIES,TASSETTE,THIENABA KHABANE,1,483,CLASSE CM1
THIES,TASSETTE,THIENABA KHABANE,2,292,SALLE DE CLASSE
