DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,THIENABA,BANGADJI,1,548,CLASSE CI
THIES,THIENABA,DALDIAM,1,484,ABRI PROVISOIRE
THIES,THIENABA,DIAYANE,1,398,CLASSE CE 1
THIES,THIENABA,DIAYANE,2,399,CLASSE CE 2
THIES,THIENABA,KAIRE FALL,1,246,SALLE DE CLASSE
THIES,THIENABA,KEUR BANDA NIANG,1,576,CASE DE SANTE
THIES,THIENABA,KEUR DEMBA ANTA,1,298,SALLE DE CLASSE
THIES,THIENABA,KEUR MALAMINE NDIAYE,1,268,SALLE DE CLASSE
THIES,THIENABA,KEUR MEISSA NDIACK,1,477,SALLE DE CLASSE
THIES,THIENABA,KEUR MEISSA NDIACK,2,476,CLASSE CE 1
THIES,THIENABA,KEUR YABA DIOP,1,371,CLASSE CI
THIES,THIENABA,KEUR YORO SADIO,1,261,SALLE DE CLASSE
THIES,THIENABA,KHAYE BABAL,1,111,CLASSE CI
THIES,THIENABA,KIELLE,1,309,CLASSE CE 1
THIES,THIENABA,NDANE,1,337,ABRI PROVISOIRE
THIES,THIENABA,NDIANE,1,443,CLASSE CI
THIES,THIENABA,NDINDY HANNE,1,573,CASE DE SANTE
THIES,THIENABA,NDINDY HANNE,2,45,ABRI PROVISOIRE
THIES,THIENABA,NGOMENE,1,293,CLASSE CI
THIES,THIENABA,SINTHIOU NGOMENE,1,275,SALLE DE CLASSE
THIES,THIENABA,THIENABA 1,1,586,SALLE DE CLASSE
THIES,THIENABA,THIENABA 1,2,585,SALLE DE CLASSE
THIES,THIENABA,THIENABA 1,3,586,SALLE DE CLASSE
THIES,THIENABA,THIENABA 1,4,588,SALLE DE CLASSE
THIES,THIENABA,THIENABA 1,5,586,SALLE DE CLASSE
THIES,THIENABA,THIENABA 1,6,585,SALLE DE CLASSE
THIES,THIENABA,THIENABA 1,7,581,SALLE DE CLASSE
THIES,THIENABA,THIENABA GARE,1,587,CLASSE CE 1
THIES,THIENABA,THIENABA GARE,2,588,CLASSE CI 2
THIES,THIENABA,THIENABA GARE,3,585,SALLE DE CLASSE
