DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,THIES OUEST,CONTRIBUTIONS DIRECTES,1,224,POSTE RANDOULENE NORD
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,1,580,CLASSE CI A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,2,581,CLASSE CP A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,3,580,CLASSE CE1 A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,4,582,CLASSE CE2 A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,5,580,CLASSE C M 1 A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,6,580,CLASSE C E 2 B
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,7,580,CLASSE CM1 B
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,8,582,CLASSE CE2 C
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,9,581,CM1 C
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,10,579,CLASSE CP B
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,11,579,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,12,583,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,13,580,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,14,580,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,15,583,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,16,582,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,17,581,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE ELHADJ ABDEL KADER NDIAYE,1,162,CLASSE CP A
THIES,THIES OUEST,ECOLE ELHADJ ABDEL KADER NDIAYE,2,162,CLASSE CE2 A
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,1,574,CLASSE CI
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,2,572,CLASSE CP
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,3,575,CLASSE CE1
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,4,573,CLASSE CE2
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,5,573,CLASSE CM 1
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,6,572,CLASSE CM2
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,7,573,CLASSE CI B
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,8,574,CLASSE CP B
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,9,575,CLASSE CE1 B
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,10,575,CLASSE CE2 B
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,11,574,CLASSE CM1 B
