DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,TOUBA TOUL,BANGOUR,1,490,SALLE DE CLASSE
THIES,TOUBA TOUL,BOKH,1,256,CLASSE CI
THIES,TOUBA TOUL,DOUDOUL,1,487,CLASSE CI
THIES,TOUBA TOUL,GADE KHAYE,1,443,CLASSE CI
THIES,TOUBA TOUL,GADE KHAYE,2,443,CLASSE
THIES,TOUBA TOUL,KEUR DIOMAYE,1,187,SALLE DE CLASSE
THIES,TOUBA TOUL,KEUR IBRA GUEYE,1,495,CLASSE CI
THIES,TOUBA TOUL,KEUR LAMANE,1,558,LYCEE ( SALLE DE CLASSE )
THIES,TOUBA TOUL,KEUR LAMANE,2,554,LYCEE ( SALLE DE CLASSE )
THIES,TOUBA TOUL,KEUR LAMANE,3,551,LYCEE ( SALLE DE CLASSE )
THIES,TOUBA TOUL,KEUR LAMANE,4,252,LYCEE ( SALLE DE CLASSE )
THIES,TOUBA TOUL,KEUR MACOUMBA GUEYE,1,217,ABRI PROVISOIRE
THIES,TOUBA TOUL,KEUR MADIA NIANG,1,396,CASE DE SANTE
THIES,TOUBA TOUL,KEUR MADIOP SAMB,1,127,SALLE DE CLASSE
THIES,TOUBA TOUL,KEUR MAMOUR NGONE,1,331,ABRI PROVISOIRE
THIES,TOUBA TOUL,KEUR MBAYE SALL,1,204,MAGASIN CEREALIER
THIES,TOUBA TOUL,KEUR NDIAGA SARR,1,307,CLASSE CI
THIES,TOUBA TOUL,KEUR THIAPH,1,588,CLASSE CE 1
THIES,TOUBA TOUL,KEUR THIAPH,2,588,CLASSE CI
THIES,TOUBA TOUL,KEUR YORO SOPHIE,1,203,MAGASIN CEREALIER
THIES,TOUBA TOUL,MBAMPANA,1,584,CLASSE CI
THIES,TOUBA TOUL,MBOLTOGNE,1,188,ABRI PROVISOIRE
THIES,TOUBA TOUL,MBOSS,1,399,CLASSE CI
THIES,TOUBA TOUL,NAKH NEKH,1,240,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDADEL,1,229,SALLE DE CLASSE
THIES,TOUBA TOUL,NDIABAKHALY,1,240,CLASSE CI
THIES,TOUBA TOUL,NDIAKHATIL MARAM,1,260,CLASSE CI
THIES,TOUBA TOUL,NDIAKHOU,1,439,CLASSE CI
THIES,TOUBA TOUL,NDIANDIAR,1,176,CASE DE SANTE
THIES,TOUBA TOUL,NDIAWRIGNE,1,232,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDIEFOUGNE PALL,1,388,CLASSE CI
THIES,TOUBA TOUL,NDIEFOUGNE PARBA,1,594,SALLE DE CLASSE
THIES,TOUBA TOUL,NDIEFOUGNE PARBA,2,27,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDIENENE,1,235,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDIERY MBENGUE,1,151,ABRI  PROVISOIRE
THIES,TOUBA TOUL,NDIOBEL NGAYENE,1,228,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDIOKOUL ALY NGONE,1,121,SALLE DE CLASSE
THIES,TOUBA TOUL,NDIONE,1,299,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDONDOL,1,559,SALLE DE CLASSE
THIES,TOUBA TOUL,NDONDOL,2,323,SALLE DE CLASSE
THIES,TOUBA TOUL,NDOUCOUMANE,1,593,CLASSE CI
THIES,TOUBA TOUL,NEOURANE,1,559,CLASSE CI
THIES,TOUBA TOUL,NEOURANE,2,228,SALLE DE CLASSE
THIES,TOUBA TOUL,NGASS SERERE,1,166,SALLE DE CLASSE
THIES,TOUBA TOUL,NGHASS,1,238,CLASSE CI
THIES,TOUBA TOUL,NGOUGOUSSE,1,145,ABRI PROVISOIRE
THIES,TOUBA TOUL,NIANGUE DAKHAR,1,111,CASE DE SANTE
THIES,TOUBA TOUL,PIROUNDARY,1,545,CLASSE CI
THIES,TOUBA TOUL,PIROUNDARY,2,300,SALLE DE CLASSE
THIES,TOUBA TOUL,SAMEL NDOUR,1,290,CLASSE CI
THIES,TOUBA TOUL,SINDIAN 2,1,230,SALLE DE CLASSE
THIES,TOUBA TOUL,SINDIANE 1,1,562,CLASSE CI
THIES,TOUBA TOUL,SINDIANE 1,2,361,SALLE DE CLASSE
THIES,TOUBA TOUL,SOTHIAN,1,130,ABRI PROVISOIRE
THIES,TOUBA TOUL,THIAREME,1,211,CLASSE CI
THIES,TOUBA TOUL,THIAR FIAYE,1,321,CLASSE CI
THIES,TOUBA TOUL,THIATHIAO,1,561,ABRI PROVISOIRE
THIES,TOUBA TOUL,THIATHIAO,2,273,ABRI PROVISOIR
THIES,TOUBA TOUL,THILLA BOUBOU,1,500,CLASSE CI
THIES,TOUBA TOUL,THILLA OUNTE,1,414,CLASSE CI
THIES,TOUBA TOUL,TOUBA TOUL,1,486,CLASSE CE 1
THIES,TOUBA TOUL,TOUBA TOUL,2,488,CLASSE CI
THIES,TOUBA TOUL,TOUBA TOUL,3,488,SALLE DE CLASSE
