DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,CHERIF LO,BALIGA,1,564,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,BALIGA,2,562,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,CHERIF LO,1,533,ECOLE ELEMENTAIRE SALLE DE CLASSE
TIVAOUANE,CHERIF LO,CHERIF LO,2,540,ECOLE ELEMENTAIRE SALLE DE CLASSE
TIVAOUANE,CHERIF LO,CHERIF LO,3,348,ECOLE ELEMENTAIRE SALLE DE CLASSE
TIVAOUANE,CHERIF LO,KEUR AMARY COUMBA,1,404,ECOLE
TIVAOUANE,CHERIF LO,KEUR KHALY SARATA,1,388,ECOLE
TIVAOUANE,CHERIF LO,KEUR KHALY SOKHNA,1,358,ECOLE
TIVAOUANE,CHERIF LO,KEUR MAGUEYE,1,324,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,KEUR MAGUEYE NDAO,1,365,ECOLE
TIVAOUANE,CHERIF LO,KEUR THIONE SARR,1,479,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,KEUR THIONE SARR,2,478,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,MBENGUENE,1,424,ECOLE
TIVAOUANE,CHERIF LO,NDIAKHATE AMAR,1,215,ABRI  PROVISOIRE
TIVAOUANE,CHERIF LO,NDIAKHATE NDIASSANE,1,530,ECOLE SALLE 1
TIVAOUANE,CHERIF LO,NDIAKHATE NDIASSANE,2,529,ECOLE SALLE 2
TIVAOUANE,CHERIF LO,NDIAKHATE NDIASSANE,3,526,ECOLE SALLE 3
TIVAOUANE,CHERIF LO,NDIASSANE,1,539,ECOLE SALLE 1
TIVAOUANE,CHERIF LO,NDIASSANE,2,532,ECOLE SALLE 2
TIVAOUANE,CHERIF LO,NDIASSANE,3,539,ECOLE SALLE 3
TIVAOUANE,CHERIF LO,NDIASSANE,4,538,ECOLE SALLE 4
TIVAOUANE,CHERIF LO,NDIASSANE,5,347,SALLE DE CLASSE
TIVAOUANE,CHERIF LO,NIAKHA,1,117,ABRI PROVISOIRE
TIVAOUANE,CHERIF LO,THIAFATHIE,1,530,ABRI PROVISOIRE
TIVAOUANE,CHERIF LO,THIAFATHIE,2,108,ABRI PROVISOIRE
TIVAOUANE,CHERIF LO,THIAOUNE SERERE,1,383,ABRI PROVISOIRE
