DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,DAROU KHOUDOSS,ANDAL 1,1,540,SALLES DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,ANDAL 1,2,538,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,ANDAL 2,1,378,ABRI PROVISOIRE 1
TIVAOUANE,DAROU KHOUDOSS,ANDAL 2,2,376,ABRI PROVISOIRE 2
TIVAOUANE,DAROU KHOUDOSS,DAROU FALL,1,562,MAGASIN DISPENSAIRE
TIVAOUANE,DAROU KHOUDOSS,DAROU FALL,2,569,SALLES DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,DAROU FALL,3,554,SALLES DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,DAROU FALL,4,233,ECOLE DAROU FALL SALLE 4
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,1,553,SALLE DE CLASSE ECOLE DAROU 1
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,2,554,SALLES DE CLASSE ECOLE DAROU 2
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,3,555,SALLES DE CLASSE ECOLE DAROU 3
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,4,553,SALLES DE CLASSE ECOLE DAROU 4
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,5,554,SALLE DE CLASSE ECOLE DAROU 5
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,6,553,SALLES DE CLASSE ECOLE DAROU 6
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,7,554,ECOLE ELEMENTAIRE
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,8,555,ECOLE ELEMENTAIRE
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,9,555,ECOLE DAROU KHOUDOSS SALLE CLA
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,10,552,CE2B ECOLE DAROU
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,11,551,CM2A ECOLE DAROU
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,12,550,ECOLE DAROU KHOUDOSS SALLE 12
TIVAOUANE,DAROU KHOUDOSS,DIAMBALLO,1,441,MATERNITE RURALE
TIVAOUANE,DAROU KHOUDOSS,DIAMBALLO,2,440,ABRI PROVISOIRE 1
TIVAOUANE,DAROU KHOUDOSS,DIOGO,1,500,ABRI PROVISOIRE 1
TIVAOUANE,DAROU KHOUDOSS,DIOGO,2,500,MAGASIN MARCHE
TIVAOUANE,DAROU KHOUDOSS,DIOGO,3,499,ABRI PROVISOIRE 2
TIVAOUANE,DAROU KHOUDOSS,DIOGO,4,501,ABRI PROVISOIRE 3
TIVAOUANE,DAROU KHOUDOSS,ECOLE ARABE SANTHIOU SINE,1,116,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,ECOLE ELEMENTAIRE TANIME,1,409,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,ECOLE KEUR MOR FALL,1,247,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,ECOLE THIOKHMATE,1,94,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,1,563,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,2,556,SALLE DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,3,567,SALLE DE CLASSE 3
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,4,561,SALLE DE CLASSE 4
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,5,557,SALLE DE CLASSE 5
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,6,354,ECOLE FASS BOYE SALLE 6
TIVAOUANE,DAROU KHOUDOSS,FOOT,1,447,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,KEUR BAKARY SARR,1,318,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,KEUR KHAR MBAYE,1,97,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,KHONKYOE,1,471,ECOLE
TIVAOUANE,DAROU KHOUDOSS,KHONKYOE,2,223,ECOLE KHONKH YOYE SALLE 2
TIVAOUANE,DAROU KHOUDOSS,MBETETE 1,1,479,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,MBORO KHONDIO,1,587,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,MBORO KHONDIO,2,43,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,MBORO NDEUNDECATT,1,477,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,MBORO NDEUNDECATT,2,475,SALLES DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,MBORO TOTAL,1,436,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,MBORO TOTAL,2,437,SALLE DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,NDIANGUE WADE,1,331,CASE DE SANTE
TIVAOUANE,DAROU KHOUDOSS,NDIOP SAO,1,593,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,NDIOP SAO,2,594,SALLE DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,NDIOP SAO,3,84,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,NDJILIGNE,1,554,ABRI PROVISOIRE 1
TIVAOUANE,DAROU KHOUDOSS,NDJILIGNE,2,553,ABRI PROVISOIRE 2
TIVAOUANE,DAROU KHOUDOSS,NDONG,1,583,ECOLE SALLE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,NDONG,2,48,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,SAO,1,572,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,SAO,2,573,SALLE DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,SAO,3,95,SALLE DE CLASSE
