DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,KOUL,COURE DECK,1,524,SALLE DE CLASSE
TIVAOUANE,KOUL,COURE DECK,2,526,ABRI PROVISOIRE
TIVAOUANE,KOUL,DAROU GAYE,1,522,CASE DE SANTE
TIVAOUANE,KOUL,DIAMA THIENDOU,1,591,SALLE DE CLASSE
TIVAOUANE,KOUL,KEUR MASSAMBA FATIM,1,356,SALLE DE CLASSE
TIVAOUANE,KOUL,KHANDANE,1,517,SALLE DE CLASSE 1
TIVAOUANE,KOUL,KHANDANE,2,516,SALLE DE CLASSE 2
TIVAOUANE,KOUL,KOUL,1,492,SALLE DE CLASSE 1
TIVAOUANE,KOUL,KOUL,2,492,SALLE DE CLASSE 2
TIVAOUANE,KOUL,MEUME OUOLOF,1,561,SALLE DE CLASSE 1
TIVAOUANE,KOUL,MEUME OUOLOF,2,563,SALLE DE CLASSE 2
TIVAOUANE,KOUL,NDAME NDIAGA,1,152,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDEUCKOU LAMANE,1,512,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDEUCKOU LAMANE,2,164,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDIAKHALANE,1,510,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDIAKHALANE,2,194,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDIAKHATE SAER,1,540,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDOMBOLOKH,1,441,SALLE DE CLASSE
TIVAOUANE,KOUL,NGADIAME,1,578,SALLE DE CLASSE
TIVAOUANE,KOUL,NGANDECK DAKHAR,1,298,ABRI PROVISOIRE
TIVAOUANE,KOUL,NGAYE NGAYE DIABEL,1,398,ABRI PROVISOIRE
TIVAOUANE,KOUL,NGUER 1,1,439,ABRI PROVISOIRE
TIVAOUANE,KOUL,PAYENE,1,528,ABRI PROVISOIRE
TIVAOUANE,KOUL,RISSO 1,1,544,SALLE DE CLASSE
TIVAOUANE,KOUL,RISSO 1,2,261,SALLE DE CLASSE CM2
TIVAOUANE,KOUL,SAKHE,1,287,ABRI PROVISOIRE
TIVAOUANE,KOUL,SANTHIOU SINE,1,401,CASE DE SANTE
TIVAOUANE,KOUL,THIAR KHANDANE,1,445,ABRI PROVISOIRE
TIVAOUANE,KOUL,TOUBA KANE,1,563,CASE DE SANTE
TIVAOUANE,KOUL,TOUBA KANE,2,107,SALLE DE CLASSE
