DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MBAYENE,DIEMOUL OUOLOF,1,385,SALLE DE CLASSE
TIVAOUANE,MBAYENE,GOUYE DAGUE,1,282,SALLE DE CLASSE 2
TIVAOUANE,MBAYENE,KERY MBAKHOL,1,177,ABRI PROVISOIRE
TIVAOUANE,MBAYENE,MBAYENE,1,483,SALLE DE CLASSE 1
TIVAOUANE,MBAYENE,MBAYENE,2,483,SALLE DE CLASSE 2
TIVAOUANE,MBAYENE,NDIOURKY,1,133,ABRI PROVISOIRE
TIVAOUANE,MBAYENE,NGALLAP 1,1,361,SALLE DE CLASSE
TIVAOUANE,MBAYENE,NGALLAP 1,2,362,SALLE DE CLASSE
TIVAOUANE,MBAYENE,NIANDOUL,1,434,SALLE DE CLASSE
TIVAOUANE,MBAYENE,PARIS NDIAYE,1,202,SALLE DE CLASSE
TIVAOUANE,MBAYENE,SANTHIOU THIABALA,1,390,ABRI PROVISOIRE
TIVAOUANE,MBAYENE,THIARRE 1,1,103,ABRI PROVISOIRE
TIVAOUANE,MBAYENE,YOYE,1,334,ABRI PROVISOIRE
