DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MBORO,ECOLE DE KEUR MAGOR,1,163,CLASSE CE1
TIVAOUANE,MBORO,ECOLE DE KEUR MAGOR,2,166,CLASSE CE2
TIVAOUANE,MBORO,ECOLE DE KEUR MAGOR,3,165,CLASSE CM2
TIVAOUANE,MBORO,ECOLE DES HLM,1,575,CLASSE CI
TIVAOUANE,MBORO,ECOLE DES HLM,2,571,CLASSE CP
TIVAOUANE,MBORO,ECOLE DES HLM,3,569,CLASSE CE1
TIVAOUANE,MBORO,ECOLE DES HLM,4,565,CLASSE CE2
TIVAOUANE,MBORO,ECOLE DES HLM,5,527,ECOLE NIANI SALLE 3
TIVAOUANE,MBORO,ECOLE DES HLM,6,527,ECOLE NIANI SALLE 5
TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,1,564,CLASSE CE1 CP
TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,2,562,CLASSE CM2
TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,3,563,CLASSE CE2 CMI
TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,4,561,SALLE CM1
TIVAOUANE,MBORO,MBORO,1,417,CLASSE CE1
TIVAOUANE,MBORO,MBORO,2,416,CLASSE CE2
TIVAOUANE,MBORO,MBORO,3,417,CLASSE CI
TIVAOUANE,MBORO,MBORO,4,417,CLASSE CP
TIVAOUANE,MBORO,MBORO,5,418,CLASSE DE CM1A
TIVAOUANE,MBORO,MBORO,6,416,CLASSE CE1A
TIVAOUANE,MBORO,MBORO,7,418,CLASSE CM2B
TIVAOUANE,MBORO,MBORO,8,417,CLASSE CE2A
TIVAOUANE,MBORO,MBORO,9,417,CLASSE CE2A
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,1,570,CLASSE TLI
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,2,574,SALLE 6
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,3,569,SALLE 17
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,4,574,SALLE 19
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,5,574,LYCEE T. ICS  SALLE 9
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,6,569,LYCEE T. ICS SALLE 13
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,7,574,LYCEE T. ICS SALLE 26
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,8,570,LYCEE T. ICS SALLE DE CLASSE
TIVAOUANE,MBORO,MERINA GUEYE,1,375,ECOLE MERINA GUEYE
TIVAOUANE,MBORO,MUTUELLE,1,580,SALLE PRINCIPALE
TIVAOUANE,MBORO,MUTUELLE,2,577,ECOLE NGAYE NGAYE
TIVAOUANE,MBORO,MUTUELLE,3,577,ECOLE NGAYE NGAYE
TIVAOUANE,MBORO,MUTUELLE,4,565,ECOLE NGAYE NGAYE
TIVAOUANE,MBORO,MUTUELLE,5,168,ABRI PROVISOIRE
