DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MECKHE,ECOLE 1,1,521,CLASSE CE1A
TIVAOUANE,MECKHE,ECOLE 1,2,522,CLASSE CM1B
TIVAOUANE,MECKHE,ECOLE 1,3,527,SALLE DE CLASSE CE2
TIVAOUANE,MECKHE,ECOLE 1,4,464,CLASSE CM2B
TIVAOUANE,MECKHE,ECOLE 3,1,565,CLASSE CM2A
TIVAOUANE,MECKHE,ECOLE 3,2,565,CLASSE CPB
TIVAOUANE,MECKHE,ECOLE 3,3,564,CLASSE CIB
TIVAOUANE,MECKHE,ECOLE 3,4,565,CLASSE CE1A
TIVAOUANE,MECKHE,ECOLE 3,5,566,CLASSE CE2B
TIVAOUANE,MECKHE,ECOLE 3,6,565,CLASSE CM1A
TIVAOUANE,MECKHE,ECOLE 3,7,561,CLASSE CM1B
TIVAOUANE,MECKHE,ECOLE 4,1,560,CLASSE CE1A
TIVAOUANE,MECKHE,ECOLE 4,2,559,CLASSE CM2B
TIVAOUANE,MECKHE,ECOLE 4,3,556,CLASSE CE2A
TIVAOUANE,MECKHE,ECOLE 4,4,544,CLASSE CE1B
TIVAOUANE,MECKHE,ECOLE 4,5,201,SALLE DE CLASSE
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,1,588,CLASSE CM1A
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,2,586,CLASSE CE2A
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,3,587,CM2A
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,4,586,CLASSE CP
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,5,584,CLASSE CM2B
TIVAOUANE,MECKHE,MEKHE 5,1,553,CLASSE CPA
TIVAOUANE,MECKHE,MEKHE 5,2,550,CLASSE CM2B
TIVAOUANE,MECKHE,MEKHE 5,3,448,CLASSE CM2A
TIVAOUANE,MECKHE,MEKHE 5,4,450,CLASSE CM1B
TIVAOUANE,MECKHE,MEKHE 6,1,98,SALLE 1
TIVAOUANE,MECKHE,MEKHE 6,2,97,SALLE 2
TIVAOUANE,MECKHE,MEKHE 6,3,96,SALLE DE CLASSE 3
