DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MERINA DAKHAR,BATTAL 1,1,415,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,BEUDE,1,558,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,COURE MBATTAR 1,1,542,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,DALAKH 1,1,277,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,DALAKH 1,2,275,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,DAROU SALAM,1,455,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,DIOKOUL TABBY,1,257,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,DIOKOUL TABBY,2,257,CM 2 ECOLE ELEMENTAIRE
TIVAOUANE,MERINA DAKHAR,ECOLE MBERE,1,153,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,GANGOU,1,351,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,GATTEIGNE,1,455,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,GATTEIGNE,2,454,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,GATTY,1,573,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,GATTY,2,45,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,KELLE,1,450,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,KELLE,2,450,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,KELLE,3,449,SALLE DE CLASSE 3
TIVAOUANE,MERINA DAKHAR,KEUR MEDOUNE GNING,1,422,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,KOUDIANE,1,492,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,LOYENE NIOCK,1,266,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,LOYENE YEROU,1,481,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,MACKA SARR,1,394,PHARMACIE VILLAGEOISE
TIVAOUANE,MERINA DAKHAR,MBALLENE,1,194,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,MERINA DAKHAR,1,510,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,MERINA DAKHAR,2,510,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,MERINA DAKHAR,3,508,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,NDER OUOLOF,1,486,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,NDIARIGNE,1,405,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,NDIASS,1,397,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,NDIAYE DIAMBANIANE,1,333,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,NGADIAGA,1,532,PHARMACIE VILLAGEOISE
TIVAOUANE,MERINA DAKHAR,NGUEOUL LOUTO,1,561,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,NGUEOUL LOUTO,2,137,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,NGUIGUIS MOR,1,385,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,NGUIGUIS MOR,2,386,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,SATTE 1,1,408,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,SINE LEYE KANE,1,348,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,SINE MACOUMBA,1,231,PHARMACIE VILLAGEOISE
TIVAOUANE,MERINA DAKHAR,TABBY,1,352,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,TELLY,1,454,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,THIAR THILOR,1,534,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,THIAR THILOR,2,151,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,THIECKERE,1,381,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,THIENGUE,1,407,ABRI PROVISOIRE
