DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MONT ROLLAND,COLOBANE THIOMBANE,1,288,ECOLE
TIVAOUANE,MONT ROLLAND,FLOUME,1,554,ECOLE
TIVAOUANE,MONT ROLLAND,FLOUME,2,553,ECOLE
TIVAOUANE,MONT ROLLAND,KEMAYE,1,300,ECOLE SALLE 1
TIVAOUANE,MONT ROLLAND,LOUKHOUSS,1,585,ABRI PROVISOIRE 1
TIVAOUANE,MONT ROLLAND,LOUKHOUSS,2,585,ABRI PROVISOIRE 2
TIVAOUANE,MONT ROLLAND,MONT ROLLAND,1,561,ECOLE SALLE 1
TIVAOUANE,MONT ROLLAND,MONT ROLLAND,2,562,ECOLE SALLE 2
TIVAOUANE,MONT ROLLAND,NDIAYE BOPP,1,561,ECOLE SALLE 1
TIVAOUANE,MONT ROLLAND,NDIAYE BOPP,2,567,ECOLE SALLE 2
TIVAOUANE,MONT ROLLAND,NDIAYE BOPP,3,444,ECOLE SALLE 3
TIVAOUANE,MONT ROLLAND,NGUICK FALL,1,339,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,NGUICK FALL,2,340,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,PAKHAMKOUYE 1,1,423,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,PAKHAMKOUYE 1,2,422,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,PALLO YOUGA,1,326,ABRI PROVISOIRE 1
TIVAOUANE,MONT ROLLAND,PALLO YOUGA,2,328,ABRI PROVISOIRE 2
TIVAOUANE,MONT ROLLAND,TIVIGNE DIASSA,1,568,ECOLE SALLE 1
TIVAOUANE,MONT ROLLAND,TIVIGNE DIASSA,2,567,ECOLE SALLE 2
TIVAOUANE,MONT ROLLAND,USINE S.A.E.M. DE THIAYE,1,397,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,USINE S.A.E.M. DE THIAYE,2,398,ECOLE ELEMENTAIRE
