DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,NIAKHENE,BOPP,1,368,ABRI PROVISOIRE
TIVAOUANE,NIAKHENE,BOPP,2,366,ABRI PROVISOIRE
TIVAOUANE,NIAKHENE,KEUR ALLE,1,338,SALLE CLASSE 1
TIVAOUANE,NIAKHENE,KEUR ALLE,2,338,SALLE CLASSE 2
TIVAOUANE,NIAKHENE,KEUR MADIOP TOURE,1,368,ECOLE ELEMENTAIRE SALLE 1
TIVAOUANE,NIAKHENE,KHAOULOU,1,411,SALLE CLASSE 1
TIVAOUANE,NIAKHENE,KHAOULOU,2,410,SALLE CLASSE
TIVAOUANE,NIAKHENE,KHATTA NGUINTE,1,186,ABRI PROVISOIRE
TIVAOUANE,NIAKHENE,KHATTA NGUINTE,2,186,ABRI PROVISOIRE
TIVAOUANE,NIAKHENE,MERINA ASTA,1,419,ECOLE ELEMENTAIRE SALLE 1
TIVAOUANE,NIAKHENE,NDEMENE,1,444,SALLE CLASSE
TIVAOUANE,NIAKHENE,NGUEMBE NDILLAKH,1,109,SALLE CLASSE
TIVAOUANE,NIAKHENE,NGUEMBE THILLA,1,389,ABRI PROVISOIRE
TIVAOUANE,NIAKHENE,NIAKHENE,1,385,SALLE CLASSE 1
TIVAOUANE,NIAKHENE,NIAKHENE,2,408,SALLE CLASSE 2
TIVAOUANE,NIAKHENE,NIAKHENE,3,394,SALLE CLASSE 3
TIVAOUANE,NIAKHENE,NIAKHENE,4,184,ECOLE SALLE 4
TIVAOUANE,NIAKHENE,THIOKOU,1,184,ABRI PROVISOIRE
