DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,NOTTO GOUYE DIAMA,BAITY DAKHAR,1,566,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,BAITY DAKHAR,2,563,ECOLE SALLE 2
TIVAOUANE,NOTTO GOUYE DIAMA,DAGA,1,547,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,DAGA,2,546,ECOLE SALLE 2
TIVAOUANE,NOTTO GOUYE DIAMA,DAROU ALPHA,1,574,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,DIEULEUCK OUOLOF,1,580,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,DIEULEUCK OUOLOF,2,587,ECOLE SALLE 2
TIVAOUANE,NOTTO GOUYE DIAMA,DIEULEUCK OUOLOF,3,74,SALLE DE CLASSE
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,1,539,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,2,543,ECOLE SALLE 2
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,3,538,ECOLE SALLE 3
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,4,540,ECOLE SALLE 4
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,5,293,SALLE DE CLASSE
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR PATHE KHEWE,1,195,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR SAMBA YACINE,1,365,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR SAMBA YACINE,2,140,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,NGADIAGA,1,561,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,NGADIAGA,2,380,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA,1,43,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA,2,43,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA,3,42,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,1,579,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,2,584,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,3,580,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,4,585,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,5,582,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,6,578,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,7,581,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,8,511,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,SEGUEL,1,408,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,SEGUEL,2,410,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,THILANE TANGHOR,1,296,ECOLE SALLE 1
