DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,PAMBAL,DOUGNANE,1,583,ECOLE SALLE 1
TIVAOUANE,PAMBAL,DOUGNANE,2,580,ECOLE SALLE 2
TIVAOUANE,PAMBAL,LOFFE,1,323,ECOLE ARABE
TIVAOUANE,PAMBAL,MBARAGLOU MOUSSA,1,546,ABRI PROVISOIRE 1
TIVAOUANE,PAMBAL,MBARAGLOU MOUSSA,2,544,ABRI PROVISOIRE 2
TIVAOUANE,PAMBAL,MBARAGLOU MOUSSA 3,1,351,ABRI PROVISOIRE 1
TIVAOUANE,PAMBAL,MBARAGLOU MOUSSA 3,2,350,ABRI PROVISOIRE 2
TIVAOUANE,PAMBAL,NDIAKHATE GORMONE,1,403,GARDERIE D'ENFANTS
TIVAOUANE,PAMBAL,PAMBAL,1,589,ECOLE SALLE 1
TIVAOUANE,PAMBAL,PAMBAL,2,590,ECOLE SALLE 2
TIVAOUANE,PAMBAL,PAMBAL,3,587,ECOLE SALLE 3
TIVAOUANE,PAMBAL,TEROKH,1,483,ECOLE
TIVAOUANE,PAMBAL,YENDANE,1,226,ECOLE ST MARTIN
