DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,PEKESSE,BAKHDASSE 2,1,227,ABRI PROVISOIRE
TIVAOUANE,PEKESSE,DIAMATYL,1,581,SALLE DE CLASSE
TIVAOUANE,PEKESSE,DIAMATYL,2,33,SALLE DE CLASSE
TIVAOUANE,PEKESSE,ECOLE YANDAKHENE,1,495,SALLE 1
TIVAOUANE,PEKESSE,GNINGUENE,1,249,ECOLE ARABE
TIVAOUANE,PEKESSE,KEUR YAMAR,1,191,ABRI PROVISOIRE
TIVAOUANE,PEKESSE,MBAYLAR,1,403,ABRI PROVISOIRE
TIVAOUANE,PEKESSE,MBAYLAR,2,401,SECCO COOPERATIVE
TIVAOUANE,PEKESSE,MERINA DIOP,1,449,SALLE DE CLASSE
TIVAOUANE,PEKESSE,NDIOGOMAYE 1,1,494,ABRI PROVISOIRE
TIVAOUANE,PEKESSE,NDIOGOMAYE 2,1,547,SALLE DE CLASSE
TIVAOUANE,PEKESSE,NDIOGOMAYE 2,2,215,SALLE DE CLASSE CM2
TIVAOUANE,PEKESSE,NDIOUCKY PEKESSE,1,563,MAGASIN COOPERATIVE
TIVAOUANE,PEKESSE,NDIOUCKY PEKESSE,2,96,MAGASIN COOPERATIVE
TIVAOUANE,PEKESSE,NGALICK,1,593,SALLE DE CLASSE
TIVAOUANE,PEKESSE,PEKESSE,1,557,SALLE DE CLASSE 1
TIVAOUANE,PEKESSE,PEKESSE,2,559,SALLE DE CLASSE 2
TIVAOUANE,PEKESSE,PEKESSE,3,561,SALLE DE CLASSE 3
TIVAOUANE,PEKESSE,PEKESSE,4,561,SALLE DE CLASSE 4
TIVAOUANE,PEKESSE,PEKESSE,5,561,SALLE DE CLASSE 5
TIVAOUANE,PEKESSE,TAIBA NIANG,1,481,CASE FOYER SALLE 1
TIVAOUANE,PEKESSE,TAIBA NIANG,2,482,CASE FOYER SALLE 2
TIVAOUANE,PEKESSE,THIEYE THIEYE,1,574,ECOLE ARABE
TIVAOUANE,PEKESSE,THIEYE THIEYE,2,66,ECOLE ARABE
