DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,TAIBA NDIAYE,BAITTY NDIAYE,1,553,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,BAITTY NDIAYE,2,57,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,DAROU DIA,1,218,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,DJINGUE,1,477,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,ECOLE ARABE BALLE GUEYE,1,146,ECOLE ELEMENTAIRE SALLE 1
TIVAOUANE,TAIBA NDIAYE,ECOLE ELEMENTAIRE DAFE 1,1,230,ECOLE ELEMENTAIRE SALLE 1
TIVAOUANE,TAIBA NDIAYE,KEUR MADIAGNE,1,439,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,KEUR MADIAGNE,2,436,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,KEUR MAGUEYE,1,419,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,KHELCOM,1,478,ECOLE ARABE
TIVAOUANE,TAIBA NDIAYE,KHELCOM,2,224,ECOLE ELEMENTAIRE SALLE 2
TIVAOUANE,TAIBA NDIAYE,MAKA GUEYE BEYE,1,216,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,MBAYENE 3,1,561,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,MBAYENE 3,2,560,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,MBAYENE 3,3,560,ECOLE MBAYENE 3 CE2
TIVAOUANE,TAIBA NDIAYE,MINAME,1,575,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,MINAME,2,576,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,MINAME,3,125,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,NDOMOR,1,550,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,NDOMOR,2,546,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,NDOMOR,3,108,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,NGOMENE,1,326,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,TAIBA MBAYE,1,576,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,TAIBA MBAYE,2,575,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,TAIBA MBAYE,3,572,SALLE DE CLASSE 3
TIVAOUANE,TAIBA NDIAYE,TAIBA MBAYE,4,201,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,1,523,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,2,522,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,3,521,SALLE DE CLASSE 3
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,4,524,SALLE DE CLASSE 4
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,5,520,SALLE DE CLASSE 5
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,6,517,SALLE DE CLASSE CE1A
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,7,521,ECOLE ELEMENTAIRE SALLE 7
TIVAOUANE,TAIBA NDIAYE,TAIBA SANTHIE,1,586,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,TAIBA SANTHIE,2,116,ECOLE ELEMENTAIRE SALLE 2
TIVAOUANE,TAIBA NDIAYE,THIALLE,1,573,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,THIALLE,2,184,ECOLE ELEMENTAIRE SALLE 2
