DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,THILMAKHA,AFFIA,1,154,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,AINOUMANE,1,300,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,DIGNE,1,371,SALLE CLASSE
TIVAOUANE,THILMAKHA,KEUR MADIAMA,1,580,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,KEUR MADIAMA,2,23,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,KEUR MANDOUMBE,1,220,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,KEUR MANDOUMBE,2,219,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,KEUR MANIAO,1,536,SALLE CLASSE
TIVAOUANE,THILMAKHA,LONGHOR,1,187,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDIALBA 1,1,343,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDIAYENE WADIA,1,312,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDONGO,1,318,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDONGO,2,319,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDONGO,3,317,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDOUCOUMANE NDIAYE,1,499,SALLE CLASSE
TIVAOUANE,THILMAKHA,NGUEBEUL,1,197,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,THILMAKHA,1,535,SALLE CLASSE 1
TIVAOUANE,THILMAKHA,THILMAKHA,2,535,SALLE CLASSE 2
TIVAOUANE,THILMAKHA,THILMAKHA,3,534,SALLE CLASSE 3
TIVAOUANE,THILMAKHA,YEO,1,244,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,YOLMA,1,185,ABRI PROVISOIRE
