DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,TIVAOUANE,BAITY BALLA DIA,1,176,ECOLE SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,C.D.E.P.S,1,567,ECOLE 1 SALLE DE CLASSE (EX CDEPS)
TIVAOUANE,TIVAOUANE,C.D.E.P.S,2,211,ECOLE 1 SALLE DE CLASSE (EX CDEPS)
TIVAOUANE,TIVAOUANE,ECOLE 10,1,556,CLASSE CI B
TIVAOUANE,TIVAOUANE,ECOLE 10,2,556,CLASSE CE1 B
TIVAOUANE,TIVAOUANE,ECOLE 10,3,554,CLASSE CE1 A
TIVAOUANE,TIVAOUANE,ECOLE 3,1,486,CLASSE CE2B
TIVAOUANE,TIVAOUANE,ECOLE 3,2,485,CLASSE CIA
TIVAOUANE,TIVAOUANE,ECOLE 3,3,487,CLASSE CM2A
TIVAOUANE,TIVAOUANE,ECOLE 3,4,488,CLASSE CM2 B
TIVAOUANE,TIVAOUANE,ECOLE 3,5,487,CLASSE CM1 B
TIVAOUANE,TIVAOUANE,ECOLE 4,1,576,CLASSE CM2 A
TIVAOUANE,TIVAOUANE,ECOLE 4,2,575,CLASSE CM2B
TIVAOUANE,TIVAOUANE,ECOLE 4,3,580,CLASSE CIA
TIVAOUANE,TIVAOUANE,ECOLE 4,4,569,CE2B
TIVAOUANE,TIVAOUANE,ECOLE 4,5,582,CLASSE CE1A
TIVAOUANE,TIVAOUANE,ECOLE 4,6,574,CLASSE CP
TIVAOUANE,TIVAOUANE,ECOLE 4,7,552,ECOLE 11 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 4,8,566,ECOLE 11 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 4,9,552,ECOLE 11 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 4,10,551,ECOLE 11 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 4,11,459,CLASSE CP B
TIVAOUANE,TIVAOUANE,ECOLE 4,12,460,ECOLE 11 SALLE DE CLASSSE
TIVAOUANE,TIVAOUANE,ECOLE 6,1,382,CLASSE CM2A
TIVAOUANE,TIVAOUANE,ECOLE 6,2,396,CLASSE CE2A
TIVAOUANE,TIVAOUANE,ECOLE 6,3,394,CLASSE CE1B
TIVAOUANE,TIVAOUANE,ECOLE 6,4,390,CLASSE CIA
TIVAOUANE,TIVAOUANE,ECOLE 6,5,353,CLASSE CPA
TIVAOUANE,TIVAOUANE,ECOLE 6,6,352,CLASSE CM1 A
TIVAOUANE,TIVAOUANE,ECOLE 6,7,355,CLASSE CE2 B
TIVAOUANE,TIVAOUANE,ECOLE 6,8,355,CLASSE CE1 A
TIVAOUANE,TIVAOUANE,ECOLE 7,1,585,CLASSE CM1A
TIVAOUANE,TIVAOUANE,ECOLE 7,2,583,CLASSE CP
TIVAOUANE,TIVAOUANE,ECOLE 7,3,589,CLASSE CM1B
TIVAOUANE,TIVAOUANE,ECOLE 7,4,587,CLASSE CIA
TIVAOUANE,TIVAOUANE,ECOLE 7,5,586,ECOLE 13 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 7,6,576,ECOLE 13 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 7,7,578,ECOLE 13 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 7,8,580,CLASSE CPA
TIVAOUANE,TIVAOUANE,ECOLE 7,9,425,ECOLE 13 SALLE DE CLASSSE
