DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,DJIBIDIONE,BALLA BASSENE,1,370,SALLE 1 ECOLE BALLA BASSENE
BIGNONA,DJIBIDIONE,BOULAYOTTE,1,120,ECOLE BOULAYOTE SALLE DE CLASSE
BIGNONA,DJIBIDIONE,BOULINGHOYE,1,341,SALLE 1 ECOLE BOULINGHOYE
BIGNONA,DJIBIDIONE,BRINDIAGO,1,435,SALLE 1 ECOLE BRINDIAGO
BIGNONA,DJIBIDIONE,DIABOUDIOR FRONTIERE,1,173,SALLE 1 ECOLE DIABOUDIOR FRONT
BIGNONA,DJIBIDIONE,DIACOYE COMBOLI,1,245,SALLE 1 ECOLE DIACOYE COMBOLY
BIGNONA,DJIBIDIONE,DIOCADOU,1,102,SALLE 1 ECOLE DIOCADOU
BIGNONA,DJIBIDIONE,DIONDJI,1,290,SALLE 1 ECOLE DJOND
BIGNONA,DJIBIDIONE,DJIBIDIONE,1,432,ECOLE ELEMENTAIRE SALLE 1
BIGNONA,DJIBIDIONE,DJIBIDIONE,2,203,ECOLE ELEMENTAIRE SALLE 2
BIGNONA,DJIBIDIONE,DJIGOUDIERE,1,14,DJIBIDIONE BV2
BIGNONA,DJIBIDIONE,DJIRAL,1,388,SALLE 1 ECOLE
BIGNONA,DJIBIDIONE,KABOUNGOUTE,1,314,SALLE ECOLE 1 DIAKOYE COMBOLI
BIGNONA,DJIBIDIONE,MASSARA,1,323,SALLE 1 ECOLE
