DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,DJINAKI,BADIANA,1,438,CLASSE CI
BIGNONA,DJINAKI,BADIANA,2,439,CLASSE CM 2
BIGNONA,DJINAKI,BALINE,1,270,CLASSE CM 2
BIGNONA,DJINAKI,BARANLIRE,1,306,BELAYE ZONE DES PALMIERS
BIGNONA,DJINAKI,BELAYE,1,477,CLASSE CI
BIGNONA,DJINAKI,DJINAKI,1,523,CLASSE C I
BIGNONA,DJINAKI,DJINAKI,2,521,CLASSE CM 2
BIGNONA,DJINAKI,DJIOUNOUNDIE,1,161,EBINAKO
BIGNONA,DJINAKI,EBINAKO,1,525,CLASSE CI
BIGNONA,DJINAKI,EBINAKO,2,528,SALLE DE CLASSE
BIGNONA,DJINAKI,EBINKINE,1,340,CLASSE C I
BIGNONA,DJINAKI,EBINKINE,2,339,CLASSE CM 2
BIGNONA,DJINAKI,ECOLE DE BITIBITI,1,261,ECOLE EBINAKO
BIGNONA,DJINAKI,KABILINE,1,400,CLASSE C I
BIGNONA,DJINAKI,KABILINE,2,402,CLASSE C E 1
BIGNONA,DJINAKI,KABILINE,3,402,CLASSE CM 2
BIGNONA,DJINAKI,KABILINE MAMBOURO OU KAB. 2,1,550,CLASSE C I
BIGNONA,DJINAKI,KARONGUE,1,398,CLASSE CM 2
BIGNONA,DJINAKI,MAHAMOUDA CHERIF,1,475,CLASSE CI
BIGNONA,DJINAKI,TANDINE,1,379,BADIANA
BIGNONA,DJINAKI,WANGARANG,1,327,DJINAKI
