DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,KAFOUNTINE,ABENE,1,570,CLASSE CM 2
BIGNONA,KAFOUNTINE,ABENE,2,570,CLASSE CI
BIGNONA,KAFOUNTINE,ABENE,3,571,CLASSE CE 1
BIGNONA,KAFOUNTINE,ALBADAR,1,440,CLASSE CI
BIGNONA,KAFOUNTINE,ALBADAR,2,436,CLASSE CM 2
BIGNONA,KAFOUNTINE,BOUNE,1,119,CLASSE CI
BIGNONA,KAFOUNTINE,CAYLO,1,99,CLASSE CI
BIGNONA,KAFOUNTINE,COLOMBA,1,325,CLASSE CI
BIGNONA,KAFOUNTINE,COUBA,1,239,CLASSE CI
BIGNONA,KAFOUNTINE,DIANNA,1,529,CLASSE CI
BIGNONA,KAFOUNTINE,DIANNA,2,530,CLASSE CM 2
BIGNONA,KAFOUNTINE,DIANNA,3,525,CLASSE CP
BIGNONA,KAFOUNTINE,DIANNAH KABAR,1,431,CLASSE CM 2
BIGNONA,KAFOUNTINE,DIOGUE,1,343,CLASSE CI
BIGNONA,KAFOUNTINE,HAERE,1,253,CLASSE CI
BIGNONA,KAFOUNTINE,HILLOL,1,305,CLASSE CI
BIGNONA,KAFOUNTINE,HITOU,1,289,CLASSE CI
BIGNONA,KAFOUNTINE,KAFOUNTINE,1,557,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,2,553,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,3,550,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,4,549,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,5,552,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,6,542,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,7,544,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,8,546,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,9,482,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,10,481,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,11,479,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,12,531,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,13,475,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,14,481,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,NIOMOUNE,1,368,CLASSE CI
BIGNONA,KAFOUNTINE,SALOULOU,1,302,CLASSE CI
