DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,KARTIACK,BASSIRE,1,589,CLASSE CM2
BIGNONA,KARTIACK,DIANKI,1,477,CLASSE CP2
BIGNONA,KARTIACK,DIANKI,2,476,CLASSE CE 1
BIGNONA,KARTIACK,DIANKI,3,476,CLASSE CE2 B
BIGNONA,KARTIACK,KARTIACK,1,542,CLASSE CE1
BIGNONA,KARTIACK,KARTIACK,2,539,CLASSE CE2
BIGNONA,KARTIACK,KARTIACK,3,525,CLASSE CM2
BIGNONA,KARTIACK,KARTIACK,4,352,SALLE DE CLASSE
BIGNONA,KARTIACK,THIOBON,1,581,CLASSE CE1
BIGNONA,KARTIACK,THIOBON,2,581,CLASSE CM1
BIGNONA,KARTIACK,BANDJIKAKI,1,328,CLASSE CI
BIGNONA,KARTIACK,BANDJIKAKI,2,332,SALLE DE CLASSE
BIGNONA,KARTIACK,DAROUL KHAIRY,1,457,CLASSE CI
BIGNONA,KARTIACK,DARSALAM CHERIF,1,351,CLASSE CI
BIGNONA,KARTIACK,DARSALAM CHERIF,2,349,CLASSE CM 2
BIGNONA,KARTIACK,DOMBONDIR,1,342,CLASSE CI
BIGNONA,KARTIACK,KABADIO,1,526,CLASSE CI
BIGNONA,KARTIACK,KABADIO,2,513,CLASSE CM 2
BIGNONA,KARTIACK,KABADIO,3,335,CLASSE CM2 B
BIGNONA,KARTIACK,KATABA 1,1,432,CLASSE CI
BIGNONA,KARTIACK,KATABA 1,2,191,CLASSE CM2
BIGNONA,KARTIACK,KATABA 2,1,428,CLASSE CI
BIGNONA,KARTIACK,KATACK,1,424,CLASSE CI
BIGNONA,KARTIACK,KOUBANACK,1,409,CLASSE CI
BIGNONA,KARTIACK,KOUBANACK,2,408,CLASSE CM 2
BIGNONA,KARTIACK,KOUDIOUBE,1,239,ECOLE KOUDIOUBE CLASSE CM 1
BIGNONA,KARTIACK,MACOUDA,1,339,CLASSE CI
BIGNONA,KARTIACK,MADINA DAFFE,1,383,CLASSE CM 2
BIGNONA,KARTIACK,MADINA DAFFE,2,383,SALLE DE CLASSE
BIGNONA,KARTIACK,MAHAMOUDA DIOLA,1,466,ECOLE MAHMOUDA DIOLA CLASSE CE 2
BIGNONA,KARTIACK,SAMBOULANDIANG,1,218,DARSALAM CHERIF
BIGNONA,KARTIACK,SELETI,1,583,CLASSE CM 2
BIGNONA,KARTIACK,SELETI,2,583,CLASSE CI
BIGNONA,KARTIACK,TAMBACOUNDA,1,174,CLASSE CI
BIGNONA,KARTIACK,TAMBOUILLE,1,312,CLASSE CI
BIGNONA,KARTIACK,TOUBA,1,569,CLASSE CI
BIGNONA,KARTIACK,WONIACK,1,219,ECOLE KABAKEL
