DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,NIAMONE,BAGHAGHA,1,440,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,NIAMONE,COLOMBA,1,223,ECOLE ELEMENTAIRE CLASSE CE 1
BIGNONA,NIAMONE,COLOMBA,2,221,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,NIAMONE,DIANDIALATTE,1,369,FOYER DES JEUNES
BIGNONA,NIAMONE,DIENGUE,1,292,ECOLE ELEMENTAIRE CLASSE CE 1
BIGNONA,NIAMONE,ECOLE ELEMENTAIRE DE KASSANKIL,1,381,CLASSE CE 1
BIGNONA,NIAMONE,ECOLE ELEMENTAIRE DE NIAMONE,1,294,CLASSE C E 2
BIGNONA,NIAMONE,ECOLE ELEMENTAIRE DE NIAMONE,2,293,CLASSE CM 1
BIGNONA,NIAMONE,ECOLE ELEMENTAIRE DE TABI,1,526,CLASSE C E 1
BIGNONA,NIAMONE,TOBOR,1,592,ECOLE ELEMENTAIRE CLASSE C E 1
BIGNONA,NIAMONE,TOBOR,2,592,ECOLE ELEMENTAIRE CLASSE C M 1
