DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,OUONCK,DJINOUBOR,1,459,ECOLE ELEMENTAIRE CLASSE CE 1
BIGNONA,OUONCK,ECOLE ELEMENTAIRE DE BOULANDOR,1,411,CLASSE CM 1
BIGNONA,OUONCK,ECOLE ELEMENTAIRE DE CONGOLI,1,534,CLASSE C E 2
BIGNONA,OUONCK,KIGNINDING,1,512,ECOLE ELEMENTAIRE CLASSE CE 1
BIGNONA,OUONCK,NDIEBA,1,418,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,OUONCK,NDIEBA,2,416,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,OUONCK,OUONCK,1,520,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,OUONCK,OUONCK,2,520,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,OUONCK,SANTACK,1,224,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,OUONCK,SANTACK,2,224,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,OUONCK,SOUDA,1,367,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,OUONCK,SOUDA,2,368,ECOLE ELEMENTAIRE CLASSE CM 1
