DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,TENGHORI,BADIOURE,1,312,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,BADIOURE,2,314,SALLE DE CLASSE
BIGNONA,TENGHORI,ECOLE DE DIARONE,1,227,ECOLE CLASSE CE2
BIGNONA,TENGHORI,ECOLE ELEMENTAIRE DE COUTENGHOR,1,153,CLASSE CE 1
BIGNONA,TENGHORI,ECOLE ELEMENTAIRE DE DIOUROU,1,155,CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEMENTAIRE DE EGUILAYE,1,177,CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEMENTAIRE DE TENDIEME,1,380,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEMENTAITRE DE DIAKINE,1,199,CLASSE CE 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,1,492,CLASSE CM2 A
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,2,491,CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,3,492,CLASSE CE 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,4,491,CLASSE CE 1
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,5,491,CLASSE CP 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,6,491,CLASSE CI
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,7,491,CLASSE CM 2 B
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 2,1,529,CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 2,2,524,CLASSE CE 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 2,3,534,CLASSE CM 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 2,4,424,ECOLE TENGHORI TRANSGAMBIENNE2 CE1
BIGNONA,TENGHORI,ECOLE MATERNELLE DE KAFESSE,1,433,ECOLE MATERNELLE
BIGNONA,TENGHORI,FALMERE,1,298,ECOLE ELEMENTAIRE CLASSE CM 2
BIGNONA,TENGHORI,FALMERE,2,299,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,MANGOULE,1,525,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,MANGOULE OUBEME,1,355,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,NIASSARANG,1,174,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,PETIT COULAYE,1,351,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,PIRAN,1,232,ECOLE ELEMENTAIRE CLASSE CM 2
BIGNONA,TENGHORI,SOUTOU,1,189,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,TAO,1,180,ECOLE ELEMENTAIRE CLASSE C E 2
BIGNONA,TENGHORI,TENDIMANE,1,343,ECOLE ELEMENTAIRE CLASSE C M 1
BIGNONA,TENGHORI,TENGHORI,1,493,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,TENGHORI,2,492,ECOLE ELEMENTAIRE CLASSE C M 2
BIGNONA,TENGHORI,TENGHORI,3,494,ECOLE ELEMENTAIRE CLASSE C E 2
BIGNONA,TENGHORI,TENGHORI,4,494,ECOLE ELEMENTAIRE CLASSE C E 1
