DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,THIONCK ESSYL,CEM THIONCK ESSYL,1,565,BLOC B SALLE 1
BIGNONA,THIONCK ESSYL,CEM THIONCK ESSYL,2,563,BLOC B SALLE 1
BIGNONA,THIONCK ESSYL,CEM THIONCK ESSYL,3,563,BLOC C SALLE 1
BIGNONA,THIONCK ESSYL,CEM THIONCK ESSYL,4,561,BLOC D SALLE 1
BIGNONA,THIONCK ESSYL,ECOLE DE BATINE,1,548,CLASSE CIA
BIGNONA,THIONCK ESSYL,ECOLE DE BATINE,2,550,CLASSE CM1A
BIGNONA,THIONCK ESSYL,ECOLE DE BATINE,3,549,SALLE DE CLASSE
BIGNONA,THIONCK ESSYL,ECOLE DE KAMANAR,1,551,CLASSE CE1
BIGNONA,THIONCK ESSYL,ECOLE DE KAMANAR,2,557,CLASSE CM2
BIGNONA,THIONCK ESSYL,ECOLE DE KAMANAR,3,278,CLASSE CI
BIGNONA,THIONCK ESSYL,ECOLE MAMBOUNA DIATTA,1,589,CLASSE CIA
BIGNONA,THIONCK ESSYL,ECOLE MAMBOUNA DIATTA,2,589,CLASSE CE2A
BIGNONA,THIONCK ESSYL,ECOLE MAMBOUNA DIATTA,3,591,CLASSE CM1B
BIGNONA,THIONCK ESSYL,ECOLE MAMBOUNA DIATTA,4,589,CLASSE CE1A
