DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,BOUTOUPA CAMARACOUND,BARAKA BOUNAO,1,144,ECOLE ELEM. CLASSE CI
ZIGUINCHOR,BOUTOUPA CAMARACOUND,BOUROFAYE BAYNOUNCK,1,305,CLASSE CP1
ZIGUINCHOR,BOUTOUPA CAMARACOUND,CAMARACOUNDA,1,555,SALLE DE CLASSE
ZIGUINCHOR,BOUTOUPA CAMARACOUND,CAMARACOUNDA,2,557,SALLE DE CLASSE
ZIGUINCHOR,BOUTOUPA CAMARACOUND,CAMARACOUNDA,3,557,SALLE DE CLASSE
ZIGUINCHOR,BOUTOUPA CAMARACOUND,ECOLE DE BINDIALOUM MANJAQUE,1,193,CLASSE CI
ZIGUINCHOR,BOUTOUPA CAMARACOUND,ECOLE DE LATI,1,298,CLASSE CM2
ZIGUINCHOR,BOUTOUPA CAMARACOUND,ECOLE ELEMENTAIRE BOUROFAYE DIOLA,1,149,CLASSE CP1
ZIGUINCHOR,BOUTOUPA CAMARACOUND,ECOLE ELEMENTAIRE DE MPACK,1,268,SALLE DE CLASSE
ZIGUINCHOR,BOUTOUPA CAMARACOUND,ECOLE ELEMENTAIRE DE MPACK,2,266,SALLE DE CLASSE
ZIGUINCHOR,BOUTOUPA CAMARACOUND,ECOLE ELEMENTAIRE DE MPACK,3,268,SALLE DE CLASSE
ZIGUINCHOR,BOUTOUPA CAMARACOUND,ECOLE ELEMENTAIRE DE NIABINA,1,272,CLASSE CE1
ZIGUINCHOR,BOUTOUPA CAMARACOUND,GUIDEL BAMBADINCKA,1,322,ABRI PROV.  MAISSON MAFALY COLY
