DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,ENAMPOR,BADIATE GRAND,1,266,CLASSE CM 1
ZIGUINCHOR,ENAMPOR,BRIN DIEGUELE,1,370,FOYER DES JEUNES
ZIGUINCHOR,ENAMPOR,DJIBONKER ERING,1,466,CLASSE CM 2
ZIGUINCHOR,ENAMPOR,ECOLE DE BANDIALE,1,226,SALLE DE CLASSE
ZIGUINCHOR,ENAMPOR,ECOLE DE MEDINA,1,258,SALLE DE CLASSE
ZIGUINCHOR,ENAMPOR,ECOLE ELEMENTAIRE ESSYL,1,218,CLASSE CE 2
ZIGUINCHOR,ENAMPOR,ENAMPOR,1,544,CLASSE CE 2
ZIGUINCHOR,ENAMPOR,ENAMPOR,2,163,SALLE DE CLASSE
ZIGUINCHOR,ENAMPOR,ETAMA,1,173,CLASSE CP ECOLE E ETAMA
ZIGUINCHOR,ENAMPOR,KAMOBEUL,1,379,CLASSE CE 1
ZIGUINCHOR,ENAMPOR,SELEKI BAHIMBANE,1,260,CLASSE CP
ZIGUINCHOR,ENAMPOR,SELEKI BAHIMBANE,2,260,CLASSE CM 2
