DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,NIAGUIS,BOULOM,1,526,SALLE DE CLASSE
ZIGUINCHOR,NIAGUIS,BOUTOUTE,1,486,CLASSE CE1
ZIGUINCHOR,NIAGUIS,BOUTOUTE,2,485,CLASSE CE2
ZIGUINCHOR,NIAGUIS,BOUTOUTE,3,488,CLASSE CM2
ZIGUINCHOR,NIAGUIS,ECOLE DE BOUCOTTE MANCAGNE,1,562,CLASSE CE1
ZIGUINCHOR,NIAGUIS,ECOLE DE BOUCOTTE MANCAGNE,2,66,SALLE DE CLASSE
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE DJIFANGHOR,1,343,CLASSE CE1
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE DJIFANGHOR,2,343,CLASSE CM1
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE FANDA,1,459,CLASSE CE2
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE FANDA,2,457,CLASSE CM1
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE FANDA,3,457,CLASSE CM2
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,1,483,CLASSE CM1
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,2,493,CLASSE CE2
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,3,486,CLASSE CE1
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,4,482,CLASSE CM2 A
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,5,483,SALLE DE CLASSE
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,6,483,SALLE DE CLASSE
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE SONE,1,172,SALLE DE CLASSE
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENT DE MANDINA MANCAGNE,1,488,SALLE DE CLASSE
ZIGUINCHOR,NIAGUIS,ECOLE ELEMENT DE MANDINA MANCAGNE,2,361,CLASSE CE2
ZIGUINCHOR,NIAGUIS,ECOLE MATERNELLE DE DJIBELOR,1,305,SALLE DE CLASSE
