DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,1,555,CLASSE CE1 B
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,2,556,CLASSE CE2 A
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,3,557,CLASSE CM2 B
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,4,558,CLASSE CM1 A
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,5,556,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,6,556,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,7,556,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,8,557,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,9,558,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,10,559,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,11,560,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,12,560,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,1,573,CLASSE 3B
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,2,567,CLASSE 4E
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,3,578,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,4,569,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,5,573,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,6,224,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,C.E.M MALICK FALL,1,556,CLASSE 5A
ZIGUINCHOR,ZIGUINCHOR,C.E.M MALICK FALL,2,552,CLASSE 6A
ZIGUINCHOR,ZIGUINCHOR,C.E.M MALICK FALL,3,552,CLASSE 4A
ZIGUINCHOR,ZIGUINCHOR,DISPENSAIRE DE SANTHIABA,1,538,SALLE PIQURE
ZIGUINCHOR,ZIGUINCHOR,DISPENSAIRE DE SANTHIABA,2,538,SALLE PANSEMENTS
ZIGUINCHOR,ZIGUINCHOR,DISPENSAIRE DE SANTHIABA,3,538,SALLE CPN
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,1,578,CLASSE CE2 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,2,578,CLASSE CE2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,3,579,CLASSE CM2 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,4,578,CLASSE CM2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,5,575,CLASSE CM2 C
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,6,578,CLASSE CI A
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,7,578,CLASSE CP B
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,8,580,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,9,578,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,10,577,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,11,578,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMADOU TIDIANE BEYE,12,580,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,1,552,CLASSE CP B
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,2,553,CLASSE CE1 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,3,553,CLASSE CE2 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,4,549,CLASSE CE2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,5,554,CLASSE CM1 L
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,6,554,CLASSE CM1 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,7,552,CLASSE CM1 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,8,549,CLASSE CM2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,9,555,CLASSE CP A
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,10,552,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE AMATH BARRY,11,553,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE ATABA TABAR,1,582,CLASSE CM2 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE ATABA TABAR,2,580,CLASSE CM1 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE ATABA TABAR,3,580,CLASSE CM1 C
ZIGUINCHOR,ZIGUINCHOR,ECOLE ATABA TABAR,4,581,CLASSE CE2 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE ATABA TABAR,5,581,CLASSE CE1 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE ATABA TABAR,6,580,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE BASSIMBO DIANDY,1,379,CLASSE CP A
ZIGUINCHOR,ZIGUINCHOR,ECOLE BASSIMBO DIANDY,2,379,CLASSE CE 1
ZIGUINCHOR,ZIGUINCHOR,ECOLE BASSIMBO DIANDY,3,380,CLASSE CM2
ZIGUINCHOR,ZIGUINCHOR,ECOLE BASSIMBO DIANDY,4,375,CLASSE CE A
ZIGUINCHOR,ZIGUINCHOR,ECOLE BASSIMBO DIANDY,5,381,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE BASSIMBO DIANDY,6,381,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE BIRAME BEYE KADIOR,1,576,CLASSE CE2 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE BIRAME BEYE KADIOR,2,576,CLASSE CE2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE BIRAME BEYE KADIOR,3,574,CLASSE CM2 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE BIRAME BEYE KADIOR,4,578,CLASSE CM2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE BIRAME BEYE KADIOR,5,574,CLASSE CM2 C
ZIGUINCHOR,ZIGUINCHOR,ECOLE BIRAME BEYE KADIOR,6,573,CLASSE CI A
ZIGUINCHOR,ZIGUINCHOR,ECOLE BIRAME BEYE KADIOR,7,574,CLASSE CP B
ZIGUINCHOR,ZIGUINCHOR,ECOLE BOUCOTTE SUD NEMA,1,369,CLASSE CI B
ZIGUINCHOR,ZIGUINCHOR,ECOLE BOUCOTTE SUD NEMA,2,369,CLASSE CP B
ZIGUINCHOR,ZIGUINCHOR,ECOLE BOUCOTTE SUD NEMA,3,365,CLASSE CE1 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE BOUCOTTE SUD NEMA,4,365,CLASSE CM1 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE BOUCOTTE SUD NEMA,5,367,CLASSE CM2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE BOUCOTTE SUD NEMA,6,366,CLASSE CM2 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE BOUCOTTE SUD NEMA,7,367,CLASSE CP A
ZIGUINCHOR,ZIGUINCHOR,ECOLE BOUCOTTE SUD NEMA,8,366,CLASSE CI A
ZIGUINCHOR,ZIGUINCHOR,ECOLE COLONEL ALIOUNE BADARA KONTE,1,547,SALLE 1
ZIGUINCHOR,ZIGUINCHOR,ECOLE COLONEL ALIOUNE BADARA KONTE,2,549,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE COLONEL ALIOUNE BADARA KONTE,3,554,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE COLONEL ALIOUNE BADARA KONTE,4,554,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE COLONEL ALIOUNE BADARA KONTE,5,374,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE DAVID CARVALHO,1,539,CLASSE CE2 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE DAVID CARVALHO,2,536,CLASSE CM2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE DAVID CARVALHO,3,540,CLASSE CM1 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE DAVID CARVALHO,4,539,CLASSE CE1 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE DAVID CARVALHO,5,542,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE DAVID CARVALHO,6,542,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BELFORT,1,549,CLASSE CM1 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BELFORT,2,549,CLASSE CM1 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BELFORT,3,550,CLASSE CM1 C
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BELFORT,4,548,CLASSE CM2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BELFORT,5,550,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BOUCOTTE EST,1,569,CLASSE CE1 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BOUCOTTE EST,2,570,CLASSE CE2 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BOUCOTTE EST,3,567,CLASSE CM1 B
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BOUCOTTE EST,4,568,CLASSE CI B
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BOUCOTTE EST,5,571,CLASSE CI A
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BOUCOTTE EST,6,570,CLASSE CM1 A
ZIGUINCHOR,ZIGUINCHOR,ECOLE DE BOUCOTTE EST,7,570,SALLE DE CLASSE
